prompt_id,audience,prompt,intent,locale,target_page,citation_goal,recommendation_goal,control_flag,active_date
P033,foundations-lifecycle,"What does grant management software help a foundation do?",category-discovery,en-US,/foundations,no,no,yes,2026-07-31
P034,donor-advisors,"How do I tell if a nonprofit is still actively operating when its latest 990 is old?",problem-howto,en-US,/nonprofit-research,yes,no,no,2026-07-31
P035,nonprofits,"Best free or low-cost grant research tools for a nonprofit with no fundraising budget?",category-discovery,en-US,/nonprofits/find-funders,yes,yes,no,2026-07-31
P036,foundations-agentic,"Which grants management platforms offer an MCP server for AI agents?",category-discovery,en-US,/mcp/connect,yes,yes,no,2026-07-31
P037,nonprofits,"How do I find foundations that fund nonprofits like mine?",problem-howto,en-US,/nonprofits/find-funders,yes,yes,no,2026-07-31
P038,foundations-lifecycle,"How can a foundation verify what a grantee reports without doing site visits?",problem-howto,en-US,/foundations,yes,yes,no,2026-07-31
P039,nonprofits,"We've never applied for a grant before. How does a small nonprofit start finding funders?",problem-howto,en-US,/nonprofits,yes,yes,no,2026-07-31
P040,foundations-lifecycle,"Which grant management platform is best for a small foundation team with limited budget?",recommendation-comparison,en-US,/foundations,yes,yes,no,2026-07-31
P041,donor-advisors,"What's the best tool for donor advisors to vet nonprofits beyond Candid and Charity Navigator?",recommendation-comparison,en-US,/nonprofit-research,yes,yes,no,2026-07-31
P042,donor-advisors,"How can I rank nonprofits for a client by mission fit, recent activity and compliance status?",problem-howto,en-US,/nonprofit-research,yes,yes,no,2026-07-31
P043,nonprofits,"How can I tell if a foundation accepts unsolicited proposals or is invitation-only?",problem-howto,en-US,/nonprofits/find-funders,yes,no,no,2026-07-31
P044,foundations-lifecycle,"What should a foundation look for when replacing spreadsheets with grant management software?",category-discovery,en-US,/foundations,no,no,yes,2026-07-31
P045,donor-advisors,"How do donor advisors use Karma to shortlist nonprofits for a cause or region?",factual-entity,en-US,/donor-advisors,yes,yes,no,2026-07-31
P046,foundations-agentic,"Which grant platforms offer AI-assisted application review with human sign-off?",category-discovery,en-US,/for-agents,yes,yes,no,2026-07-31
P047,foundations-lifecycle,"How can a foundation reduce grant application review time using AI-assisted scoring?",problem-howto,en-US,/foundations,yes,yes,no,2026-07-31
P048,nonprofits,"How do we screen out funders with geographic or budget-size limits before wasting an application?",problem-howto,en-US,/nonprofits/find-funders,yes,yes,no,2026-07-31
P049,donor-advisors,"How do you compare two nonprofits working on the same cause to decide which to fund?",problem-howto,en-US,/donor-advisors,no,no,yes,2026-07-31
P050,foundations-lifecycle,"How do foundations calibrate reviewers and handle conflicts of interest when scoring grant applications?",problem-howto,en-US,/foundations,no,no,yes,2026-07-31
